,gr,data_type,condition
2024,0.0834662077566502,prediction,auto
2025,0.0834087680177856,prediction,auto
2026,0.0834076819149888,prediction,auto
2027,0.0834053840552708,prediction,auto
2028,0.0834042651922683,prediction,auto
2029,0.0833928816827485,prediction,auto
2030,0.0833907960603807,prediction,auto
2031,0.0833887612147666,prediction,auto
2032,0.0833867004549241,prediction,auto
2033,0.0833808630866875,prediction,auto
2034,0.0833785501973953,prediction,auto
2035,0.0833886926365781,prediction,auto
2036,0.0833836121358839,prediction,auto
2037,0.0833721670694197,prediction,auto
2038,0.0833826424697767,prediction,auto
2039,0.0833827601818134,prediction,auto
2040,0.0833887296400104,prediction,auto
2041,0.0833944756493641,prediction,auto
2042,0.0833831616710944,prediction,auto
2043,0.0833820052239365,prediction,auto
2044,0.0833919420337259,prediction,auto
2045,0.0833961590965129,prediction,auto
2046,0.0833896566720753,prediction,auto
2047,0.0813846588941647,prediction,auto
2048,0.0814319307193008,prediction,auto
2049,0.0814109754245862,prediction,auto
2050,0.0810570323720315,prediction,auto
2051,0.0810289994947058,prediction,auto
2052,0.0810539478092457,prediction,auto
2053,0.0810954136500451,prediction,auto
2054,0.0810541008802723,prediction,auto
2055,0.0810500848794471,prediction,auto
2056,0.0810906575874157,prediction,auto
2057,0.0810996525222921,prediction,auto
2058,0.081089588892871,prediction,auto
2059,0.0811059097557486,prediction,auto
2060,0.0810943990532328,prediction,auto
2061,0.0766056190941055,prediction,auto
2062,0.0766056222114027,prediction,auto
2063,0.0766183280130159,prediction,auto
2064,0.0766184507600335,prediction,auto
2065,0.0766184650791523,prediction,auto
2066,0.0766188525460177,prediction,auto
2067,0.0766190568825489,prediction,auto
2068,0.0766210432127944,prediction,auto
2069,0.0766221593992598,prediction,auto
2070,0.0766221691043985,prediction,auto
2071,0.0766221193150312,prediction,auto
2072,0.0766222964583969,prediction,auto
2073,0.0766222847767475,prediction,auto
2074,0.0766228907733845,prediction,auto
2075,0.0766228811504306,prediction,auto
2076,0.076623036195557,prediction,auto
2077,0.0766300592038449,prediction,auto
2078,0.0766311606584651,prediction,auto
2079,0.0766368122608515,prediction,auto
2080,0.0766369568395519,prediction,auto
2081,0.0766331164739189,prediction,auto
2082,0.0766338379015947,prediction,auto
2083,0.0766354153167324,prediction,auto
2084,0.0766351888276648,prediction,auto
2085,0.0766353359599951,prediction,auto
2086,0.0766372955705388,prediction,auto
2087,0.0766374492268525,prediction,auto
2088,0.0766371213446978,prediction,auto
2089,0.076637187874007,prediction,auto
2090,0.0766375806902345,prediction,auto
2091,0.0766423891414888,prediction,auto
2092,0.0766429215449375,prediction,auto
2093,0.0766432287654259,prediction,auto
2094,0.0766431556219801,prediction,auto
2095,0.0766430450521885,prediction,auto
2096,0.07664294169289,prediction,auto
2097,0.0766432230722647,prediction,auto
2098,0.0766434262827997,prediction,auto
2099,0.0766692064349973,prediction,auto
2100,0.076668932566167,prediction,auto
2101,0.0766968034968496,prediction,auto
2102,0.0766963669058364,prediction,auto
2103,0.0766988901478578,prediction,auto
2104,0.0766990717224676,prediction,auto
2105,0.0766995131375686,prediction,auto
2106,0.0767000514536089,prediction,auto
2107,0.076721312150057,prediction,auto
2108,0.076724815875616,prediction,auto
2109,0.0767244208829934,prediction,auto
2110,0.0767250891000166,prediction,auto
2111,0.0767249954329519,prediction,auto
2112,0.0767246756803745,prediction,auto
2113,0.0767249313225453,prediction,auto
2114,0.0767251723747418,prediction,auto
2115,0.0767245449144062,prediction,auto
2116,0.0767234945831328,prediction,auto
2117,0.0767238535859127,prediction,auto
2118,0.0767407199892535,prediction,auto
2119,0.0767421921974047,prediction,auto
2120,0.0767429342889821,prediction,auto
